Timestamp,Origin,Grad,Parent,Neighbor_Addr,RSSI
2026-03-10 11:31:38,0006,2,0007,0005,-41
2026-03-10 11:31:38,0006,2,0007,0007,-47
2026-03-10 11:31:38,0006,2,0007,0003,-51
2026-03-10 11:31:38,0006,2,0007,0004,-60
2026-03-10 11:31:38,0006,2,0007,0008,-44
2026-03-10 11:31:38,0003,1,0002,0002,-59
2026-03-10 11:31:38,0003,1,0002,0004,-49
2026-03-10 11:31:38,0003,1,0002,0005,-51
2026-03-10 11:31:38,0003,1,0002,0007,-58
2026-03-10 11:31:38,0003,1,0002,0006,-43
2026-03-10 11:31:38,0003,1,0002,0008,-54
2026-03-10 11:31:38,0003,1,0002,0009,-59
2026-03-10 11:31:38,0004,1,0002,0002,-37
2026-03-10 11:31:38,0004,1,0002,0003,-45
2026-03-10 11:31:38,0004,1,0002,0005,-52
2026-03-10 11:31:38,0004,1,0002,0007,-60
2026-03-10 11:31:38,0004,1,0002,0006,-59
2026-03-10 11:31:38,0004,1,0002,0008,-60
2026-03-10 11:31:38,0004,1,0002,0009,-60
2026-03-10 11:31:38,0007,1,0002,0002,-60
2026-03-10 11:31:38,0007,1,0002,0003,-58
2026-03-10 11:31:38,0007,1,0002,0004,-60
2026-03-10 11:31:38,0007,1,0002,0005,-60
2026-03-10 11:31:38,0007,1,0002,0006,-37
2026-03-10 11:31:38,0007,1,0002,0008,-43
2026-03-10 11:31:38,0007,1,0002,0009,-43
2026-03-10 11:31:38,0008,2,0007,0007,-39
2026-03-10 11:31:38,0008,2,0007,0005,-54
2026-03-10 11:31:38,0008,2,0007,0003,-55
2026-03-10 11:31:38,0008,2,0007,0009,-44
2026-03-10 11:31:38,0008,2,0007,0006,-46
2026-03-10 11:31:38,0005,1,0002,0002,-59
2026-03-10 11:31:38,0005,1,0002,0004,-46
2026-03-10 11:31:38,0005,1,0002,0003,-46
2026-03-10 11:31:38,0005,1,0002,0007,-57
2026-03-10 11:31:38,0005,1,0002,0006,-49
2026-03-10 11:31:38,0005,1,0002,0008,-52
2026-03-10 11:31:38,0005,1,0002,0009,-59
2026-03-10 11:31:38,0009,2,0007,0007,-45
2026-03-10 11:31:38,0009,2,0007,0005,-59
