Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
03:47:08.061,DATA,0x0004,0x0003,29,2,69,-50,,,,,,,
03:47:09.245,DATA,0x0003,0x0003,44,1,19,-47,,,,,,,
03:47:10.096,DATA,0x0004,0x0003,30,2,68,-53,,,,,,,
03:47:11.441,DATA,0x0003,0x0003,45,1,13,-52,,,,,,,
03:47:12.293,DATA,0x0004,0x0003,31,2,113,-53,,,,,,,
03:47:13.590,DATA,0x0003,0x0003,46,1,21,-48,,,,,,,
03:47:14.440,DATA,0x0004,0x0003,32,2,86,-52,,,,,,,
03:47:15.697,DATA,0x0003,0x0003,47,1,20,-47,,,,,,,
03:47:16.659,DATA,0x0004,0x0003,33,2,85,-53,,,,,,,
03:47:17.732,DATA,0x0003,0x0003,48,1,14,-48,,,,,,,
03:47:18.787,DATA,0x0004,0x0003,34,2,84,-53,,,,,,,
03:47:19.810,DATA,0x0003,0x0003,49,1,20,-52,,,,,,,
03:47:20.915,DATA,0x0004,0x0003,35,2,77,-51,,,,,,,
03:47:21.672,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:47:22.007,DATA,0x0003,0x0003,50,1,33,-48,,,,,,,
03:47:22.999,DATA,0x0004,0x0003,36,2,218,-52,,,,,,,
03:47:23.294,REPORT,0x0003,,50,,,,5,9,0,35,50,0,100.00
03:47:24.086,DATA,0x0003,0x0003,51,1,19,-52,,,,,,,
03:47:25.029,DATA,0x0004,0x0003,37,2,75,-52,,,,,,,
03:47:26.062,DATA,0x0003,0x0003,52,1,23,-47,,,,,,,
03:47:27.135,DATA,0x0004,0x0003,38,2,68,-53,,,,,,,
03:47:28.146,DATA,0x0003,0x0003,53,1,17,-48,,,,,,,
03:47:29.199,DATA,0x0004,0x0003,39,2,88,-51,,,,,,,
03:47:30.230,DATA,0x0003,0x0003,54,1,16,-48,,,,,,,
03:47:31.238,DATA,0x0004,0x0003,40,2,161,-52,,,,,,,
03:47:32.362,DATA,0x0003,0x0003,55,1,24,-47,,,,,,,
03:47:33.406,DATA,0x0004,0x0003,41,2,104,-52,,,,,,,
03:47:34.409,DATA,0x0003,0x0003,56,1,23,-52,,,,,,,
03:47:35.565,DATA,0x0004,0x0003,42,2,80,-52,,,,,,,
03:47:36.576,DATA,0x0003,0x0003,57,1,18,-47,,,,,,,
03:47:37.568,DATA,0x0004,0x0003,43,2,71,-51,,,,,,,
03:47:38.762,DATA,0x0003,0x0003,58,1,45,-47,,,,,,,
03:47:39.643,DATA,0x0004,0x0003,44,2,89,-51,,,,,,,
03:47:40.899,DATA,0x0003,0x0003,59,1,48,-47,,,,,,,
03:47:41.842,DATA,0x0004,0x0003,45,2,73,-50,,,,,,,
03:47:43.031,DATA,0x0003,0x0003,60,1,26,-53,,,,,,,
03:47:43.902,DATA,0x0004,0x0003,46,2,70,-52,,,,,,,
