Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
07:17:48.940,EVENT,TEST_START,Duration_ms=1800000,,,,,,,,,,,
07:17:54.033,HEARTBEAT,0x0014,0x0014,,1,0,,,,,,,,
07:17:55.643,HEARTBEAT,0x0005,0x0005,,1,0,,,,,,,,
07:18:01.677,HEARTBEAT,0x0015,0x0015,,1,0,,,,,,,,
07:18:08.368,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
07:18:10.775,HEARTBEAT,0x0006,0x0006,,1,0,,,,,,,,
07:18:18.496,HEARTBEAT,0x0014,0x0014,,1,0,,,,,,,,
07:18:24.292,HEARTBEAT,0x0015,0x0015,,1,0,,,,,,,,
07:18:24.667,HEARTBEAT,0x0006,0x0006,,1,0,,,,,,,,
07:18:32.433,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
07:18:42.030,HEARTBEAT,0x0014,0x0014,,1,0,,,,,,,,
07:18:47.243,HEARTBEAT,0x0015,0x0015,,1,0,,,,,,,,
07:18:47.801,HEARTBEAT,0x0006,0x0006,,1,0,,,,,,,,
07:18:53.477,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
07:19:06.630,HEARTBEAT,0x0014,0x0014,,1,0,,,,,,,,
07:19:08.134,HEARTBEAT,0x0015,0x0015,,1,0,,,,,,,,
07:19:09.814,HEARTBEAT,0x0006,0x0006,,1,0,,,,,,,,
07:19:14.674,DATA,0x0005,0x0015,1,2,90,-65,,,,,,,
07:19:14.781,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
07:19:16.702,DATA,0x0005,0x0015,2,2,79,-65,,,,,,,
07:19:18.769,DATA,0x0005,0x0015,3,2,83,-65,,,,,,,
07:19:19.782,DATA,0x0003,0x0003,1,1,18,-57,,,,,,,
07:19:20.937,DATA,0x0005,0x0015,4,2,122,-59,,,,,,,
07:19:21.868,DATA,0x0003,0x0003,2,1,50,-57,,,,,,,
07:19:23.084,DATA,0x0005,0x0015,5,2,85,-59,,,,,,,
07:19:23.195,DATA,0x0014,0x0014,1,1,15,-56,,,,,,,
07:19:24.036,DATA,0x0003,0x0003,3,1,44,-57,,,,,,,
07:19:25.233,DATA,0x0005,0x0015,6,2,30,-84,,,,,,,
07:19:25.355,DATA,0x0014,0x0014,2,1,38,-56,,,,,,,
07:19:25.689,DATA,0x0015,0x0015,1,1,49,-81,,,,,,,
07:19:26.155,DATA,0x0003,0x0003,4,1,18,-54,,,,,,,
07:19:27.249,DATA,0x0005,0x0015,7,2,66,-59,,,,,,,
07:19:27.457,DATA,0x0014,0x0014,3,1,20,-58,,,,,,,
07:19:27.801,DATA,0x0015,0x0015,2,1,19,-65,,,,,,,
07:19:28.328,DATA,0x0003,0x0003,5,1,17,-54,,,,,,,
07:19:28.519,HEARTBEAT,0x0015,0x0015,,1,0,,,,,,,,
07:19:29.343,DATA,0x0005,0x0015,8,2,78,-65,,,,,,,
07:19:29.524,DATA,0x0014,0x0014,4,1,55,-58,,,,,,,
07:19:29.966,DATA,0x0015,0x0015,3,1,66,-65,,,,,,,
07:19:30.372,DATA,0x0003,0x0003,6,1,15,-54,,,,,,,
07:19:31.394,HEARTBEAT,0x0014,0x0014,,1,0,,,,,,,,
07:19:31.466,DATA,0x0005,0x0015,9,2,24,-86,,,,,,,
07:19:31.564,DATA,0x0014,0x0014,5,1,12,-56,,,,,,,
07:19:32.456,DATA,0x0003,0x0003,7,1,26,-54,,,,,,,
07:19:33.316,HEARTBEAT,0x0006,0x0006,,1,0,,,,,,,,
07:19:33.581,DATA,0x0005,0x0015,10,2,133,-65,,,,,,,
07:19:33.691,DATA,0x0014,0x0014,6,1,73,-58,,,,,,,
07:19:34.093,DATA,0x0015,0x0015,5,1,15,-65,,,,,,,
07:19:34.620,DATA,0x0003,0x0003,8,1,19,-53,,,,,,,
07:19:35.635,DATA,0x0014,0x0014,7,1,16,-58,,,,,,,
07:19:35.772,DATA,0x0005,0x0015,11,2,72,-59,,,,,,,
07:19:36.136,DATA,0x0015,0x0015,6,1,42,-59,,,,,,,
07:19:36.521,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
07:19:36.694,DATA,0x0003,0x0003,9,1,16,-54,,,,,,,
07:19:37.723,DATA,0x0014,0x0014,8,1,48,-58,,,,,,,
07:19:37.901,DATA,0x0005,0x0015,12,2,88,-65,,,,,,,
07:19:38.251,DATA,0x0015,0x0015,7,1,38,-59,,,,,,,
07:19:38.858,DATA,0x0003,0x0003,10,1,43,-57,,,,,,,
