Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),QLD(%),Pin(%)
2026-03-12 02:11:28,0005,1,0002,0004,-54,127,0,100.0
2026-03-12 02:11:28,0005,1,0002,0007,-56,127,0,100.0
2026-03-12 02:11:28,0005,1,0002,0008,-60,127,0,100.0
2026-03-12 02:11:28,0005,1,0002,0009,-59,309,0,100.0
2026-03-12 02:11:28,000A,2,0005,0005,-44,180,0,100.0
2026-03-12 02:11:28,000A,2,0005,0007,-47,180,0,100.0
2026-03-12 02:11:28,000A,2,0005,0006,-56,180,0,100.0
2026-03-12 02:11:28,000A,2,0005,0004,-59,180,0,100.0
2026-03-12 02:11:28,000A,2,0005,0003,-60,180,0,100.0
2026-03-12 02:11:28,000A,2,0005,0009,-52,180,0,100.0
2026-03-12 02:11:28,000A,2,0005,0008,-57,180,0,100.0
2026-03-12 02:11:28,0004,1,0002,0002,-56,151,0,100.0
2026-03-12 02:11:28,0004,1,0002,0003,-44,151,0,100.0
2026-03-12 02:11:28,0004,1,0002,0006,-50,151,0,100.0
2026-03-12 02:11:28,0004,1,0002,0005,-53,127,0,100.0
2026-03-12 02:11:28,0004,1,0002,0007,-59,127,0,100.0
2026-03-12 02:11:28,0004,1,0002,000A,-59,127,0,100.0
2026-03-12 02:11:28,0004,1,0002,0009,-60,127,0,100.0
2026-03-12 02:11:28,0008,2,0007,0007,-47,188,0,100.0
2026-03-12 02:11:28,0008,2,0007,000A,-53,188,0,100.0
2026-03-12 02:11:28,0008,2,0007,0006,-56,188,0,100.0
2026-03-12 02:11:28,0008,2,0007,0003,-57,188,0,100.0
2026-03-12 02:11:28,0008,2,0007,0005,-59,188,0,100.0
2026-03-12 02:11:28,0008,2,0007,0004,-60,32,0,100.0
2026-03-12 02:11:28,0008,2,0007,0009,-38,188,0,100.0
2026-03-12 02:11:28,0003,1,0002,0002,-44,357,0,100.0
2026-03-12 02:11:28,0003,1,0002,0004,-45,357,0,100.0
2026-03-12 02:11:28,0003,1,0002,0005,-48,357,0,100.0
2026-03-12 02:11:28,0003,1,0002,0006,-49,357,0,100.0
2026-03-12 02:11:28,0003,1,0002,000A,-56,357,0,100.0
2026-03-12 02:11:28,0003,1,0002,0007,-59,357,0,100.0
2026-03-12 02:11:28,0003,1,0002,0008,-58,357,0,100.0
2026-03-12 02:11:28,0007,1,0002,0002,-59,103,0,100.0
2026-03-12 02:11:28,0007,1,0002,000A,-47,222,0,100.0
2026-03-12 02:11:28,0007,1,0002,0006,-49,222,0,100.0
2026-03-12 02:11:28,0007,1,0002,0005,-55,222,0,100.0
2026-03-12 02:11:28,0007,1,0002,0004,-57,222,0,100.0
2026-03-12 02:11:28,0007,1,0002,0003,-58,222,0,100.0
